N_n,M_u,T_q,T_r,I_o
1.0,0.0493,40446.56,709.0,3.1902
1.0,0.0466,18906.884,222.0,2.6871
1.0,0.0335,10620.735,506.0,2.9767
1.0,0.0201,24132.412,502.0,3.2436
1.0,0.0257,14413.236,506.0,3.0784
1.0,0.0267,44093.181,516.0,3.2198
1.0,0.042,39016.255,549.0,3.2874
1.0,0.0461,39043.768,521.0,3.4183
1.0,0.0308,52925.828,520.0,2.9775
1.0,0.0374,46705.743,519.0,3.698
1.0,0.033,46705.569,510.0,3.2257
1.0,0.0158,24561.34,670.0,4.0362
1.0,0.027000000000000003,46705.058,523.0,2.9369
1.0,0.0385,46704.978,520.0,3.2024
1.0,0.0299,46704.92,517.0,2.9497
1.0,0.0147,60379.393,573.0,3.177
1.0,0.0196,46704.676,513.0,3.2646
1.0,0.0482,46704.607,519.0,3.227
1.0,0.0458,46704.131,525.0,3.2323
1.0,0.0258,14410.538,532.0,3.1564
1.0,0.0412,52923.565,510.0,3.4869
1.0,0.0238,60378.16099999999,511.0,3.0964
1.0,0.0316,1050.107,520.0,3.6967
1.0,0.0323,46703.451,524.0,2.9607
1.0,0.0335,38861.262,528.0,2.9576
1.0,0.0405,18104.74,522.0,3.2634
1.0,0.024,18092.123,524.0,3.1802
1.0,0.0187,20367.847,522.0,3.1869
1.0,0.0377,1041.636,514.0,2.9603
1.0,0.0341,46702.542,540.0,3.0001
1.0,0.034,46702.46,514.0,3.6481
1.0,0.0293,44089.032,521.0,3.3479
1.0,0.0151,46702.241,511.0,3.2785
1.0,0.0234,46712.918,509.0,2.9623
1.0,0.0218,44884.101,514.0,3.6964
1.0,0.0477,52921.656,521.0,3.0844
1.0,0.0315,44088.19,526.0,3.8043
1.0,0.0475,39268.983,516.0,3.035
1.0,0.0389,15926.015,533.0,3.2667
1.0,0.0264,2212.842,509.0,3.6713
1.0,0.02,44087.28599999999,583.0,2.9551
1.0,0.0363,24126.142000000003,520.0,3.027
1.0,0.0393,40498.899,518.0,3.2366
1.0,0.0237,24556.121,534.0,3.8626
1.0,0.0356,46710.927,507.0,3.2042
1.0,0.0234,2376.373,515.0,3.1402
1.0,0.0293,46710.674000000006,514.0,2.9908
1.0,0.0224,15924.622,529.0,3.7004
1.0,0.0341,46710.35400000001,512.0,3.2873
1.0,0.029,46710.258,519.0,2.9223
1.0,0.0316,1728.625,591.0,3.3442
1.0,0.0322,21301.964,521.0,3.1698
1.0,0.0205,43112.749,501.0,2.9873
1.0,0.024,46709.372,631.0,3.0301
1.0,0.0581,20145.652,517.0,3.1258
1.0,0.021,60372.635,517.0,2.9389
1.0,0.0374,39466.496,522.0,3.3244
1.0,0.0229,59482.842,508.0,3.1571
1.0,0.0369,46708.654,520.0,3.2588
1.0,0.0419,44088.13200000001,528.0,3.2230000000000003
1.0,0.0236,43349.616,608.0,3.8229
1.0,0.0359,17807.535,514.0,3.2709
1.0,0.0359,40162.31,535.0,3.4362
1.0,0.0318,60371.788,519.0,3.9895
1.0,0.0283,13867.152,521.0,3.0769
1.0,0.0303,46707.876,630.0,4.0596
1.0,0.0251,60371.338,515.0,2.9292
1.0,0.0264,39546.305,666.0,3.9442
1.0,0.0339,60371.144,512.0,2.9858
1.0,0.0302,46707.31200000001,524.0,3.997
1.0,0.0418,52915.957,528.0,3.1781
1.0,0.0437,46707.97900000001,522.0,3.7326
1.0,0.0419,15354.944,515.0,3.695
1.0,0.0374,39330.985,517.0,3.7688
1.0,0.0269,60370.084,517.0,3.2663
1.0,0.0284,35012.36,516.0,3.6102
1.0,0.0346,58981.099,522.0,2.9668
0.027777777777777776,101995.3081,0.777,12768.0,60.7766
0.027777777777777776,88.7371,1.932,547.0,0.1152
0.027777777777777776,0.0,0.525,19284.0,0.0
0.8888888888888888,2345503.3029,34.935,5638.0,3564.9221
1.0,70794.2857,1.888,7802.0,17.4891
1.0,76640.8013,3.86,9051.0,20.4804
1.0,65022.6096,4.092,7337.0,16.4003
1.0,62640.4059,119.47,7573.0,17.2343
1.0,47168.8805,208.661,6846.0,17.1787
1.0,69166.4964,759.143,7757.0,17.4754
1.0,70169.4327,781.663,7651.0,17.311
1.0,68811.8305,5266.715,7758.0,17.438
1.0,69795.2119,5269.107,7870.0,17.6644
1.0,72829.9498,5269.096,8123.0,18.2474
1.0,0.0036,22.743,1.0,0.0044
1.0,3.0308,212.595,16.0,0.0078
1.0,68372.6575,498.745,8405.0,3.7143
1.0,53833.3865,2851.828,7189.0,3.6105
0.8888888888888888,3276255.5313,2696.97,7857.0,7129.054
1.0,114369.0671,2332.262,9151.0,3.8549
1.0,47034.3694,2325.233,8776.0,3.4838
0.027777777777777776,0.0,0.613,8508.0,0.0
0.3333333333333333,12700.1017,2.559,256.0,5.7829
0.3333333333333333,0.0,2.517,2.0,0.0
0.3333333333333333,26242.9317,2.529,446.0,10.1373
0.3333333333333333,30241.1957,2.528,514.0,12.3992
0.3333333333333333,17039.8437,4.776,313.0,6.8243
0.8888888888888888,3257664.3421,2.62,7806.0,7129.1868
0.8888888888888888,3191229.5987,183.823,7619.0,7129.4424
0.027777777777777776,0.0,2.267,10240.0,0.0
0.3333333333333333,17516.4477,3.332,319.0,6.8434
0.8888888888888888,3264758.3998,43.191,7828.0,7129.3113
0.8888888888888888,3166849.5414,4.7,7584.0,7129.3349
0.027777777777777776,20557.5246,86.28299999999999,685.0,48.0677
0.3333333333333333,4920609.6607,3440.0,104404.0,2851.6337
0.027777777777777776,86.6716,2.784,539.0,0.1117
0.027777777777777776,83.4643,5.275,517.0,0.0149
0.027777777777777776,71.3203,5.2410000000000005,439.0,0.5133
0.027777777777777776,119.9217,5.16,737.0,0.5161
0.8888888888888888,2903338.7545,3.198,6961.0,4311.7477
0.8888888888888888,2920792.4931,3.5610000000000004,6944.0,4312.982000000001
0.027777777777777776,0.0,2.73,8369.0,0.0
0.3333333333333333,18103.2378,0.7709999999999999,1394.0,6.6329
0.8888888888888888,0.0995,3920.0,17423.0,0.0182
0.3333333333333333,31969.1563,2.571,1559.0,9.2635
0.027777777777777776,0.0,1.258,3895.0,0.0
0.3333333333333333,91603.9973,0.889,2918.0,13.7449
0.1111111111111111,34.625,1.39,31.0,0.0181
0.1111111111111111,509177.3278,0.401,767.0,1.2066
0.3333333333333333,145005.7881,4.284,1822.0,61.9615
0.3333333333333333,122905.2959,1.555,1622.0,112.9874
0.3333333333333333,114001.3304,2.211,1455.0,46.7233
0.3333333333333333,119155.9336,2.6210000000000004,1521.0,51.3687
0.3333333333333333,126575.2041,1.871,1606.0,56.2272
0.16666666666666666,0.0,1169.0,4309.0,0.0
0.027777777777777776,85.4735,0.424,530.0,0.1111
0.027777777777777776,72.0106,1.714,452.0,0.015
0.027777777777777776,83.4407,2.849,524.0,0.1144
0.027777777777777776,22.4587,3.233,163.0,0.0185
0.027777777777777776,114.3854,3.167,700.0,0.0158
0.027777777777777776,82.9777,3.149,506.0,0.5031
0.027777777777777776,134.9983,2.549,822.0,0.5178
0.3333333333333333,433.6127,0.534,563.0,2.0751
0.027777777777777776,0.0,276.0,11287.0,0.0
0.027777777777777776,140715.9448,261.0,25276.0,3.1435
0.027777777777777776,404173.241,264.0,16388.0,94.1843
0.027777777777777776,405642.3559,1563.0,16115.0,94.1816
0.027777777777777776,397470.57,2569.0,15998.0,94.1816
0.027777777777777776,392074.231,2458.0,15565.0,94.1816
0.027777777777777776,401873.3277,2348.0,16076.0,94.1843
0.027777777777777776,390937.6507,2251.0,15537.0,94.1842
0.027777777777777776,397259.0033,2143.0,15907.0,94.1842
0.027777777777777776,399751.8526,2041.0,15998.0,94.1843
0.027777777777777776,395119.1634,1921.0,15679.0,94.1843
0.027777777777777776,440204.6336,1803.0,17186.0,94.1843
0.027777777777777776,444315.2423,1695.0,17564.0,94.1842
0.027777777777777776,404427.9004,263.0,15939.0,94.1843
0.027777777777777776,384826.2529,1642.0,15307.0,94.1843
0.027777777777777776,402162.1971,2658.0,15986.0,94.1842
0.027777777777777776,408895.5735,2533.0,16503.0,94.1842
0.027777777777777776,385813.3958,2424.0,15376.0,94.1843
0.027777777777777776,395559.5277,2319.0,15927.0,94.1818
0.027777777777777776,386833.7178,2215.0,15570.0,94.1816
0.027777777777777776,392777.8801,2110.0,15785.0,94.1819
0.027777777777777776,415733.14450000005,2011.0,16594.0,94.1842
0.027777777777777776,404421.3261,1899.0,16260.0,94.1843
0.027777777777777776,428823.7171,1770.0,16933.0,94.1842
0.027777777777777776,390651.474,271.0,15649.0,94.1843
0.027777777777777776,376990.8243,1590.0,15156.0,94.1843
0.027777777777777776,380503.1668,2680.0,15161.0,94.1842
0.027777777777777776,390821.0144,2565.0,15537.0,94.1816
0.027777777777777776,393219.0747,2454.0,15745.0,94.1843
0.027777777777777776,376834.2755,2337.0,15154.0,94.1843
0.027777777777777776,404981.7197,2218.0,16128.0,94.1842
0.027777777777777776,381448.6929,2110.0,15397.0,94.1843
0.027777777777777776,377706.0186,590.3,15214.0,94.1843
0.027777777777777776,382260.1342,591.275,15207.0,94.1843
0.027777777777777776,418181.6533,591.179,16371.0,94.1843
1.0,0.0,0.858,0.0,0.0
1.0,0.0,1.5590000000000002,946.0,0.0
1.0,12701.2736,213.445,20577.0,0.0032
0.3333333333333333,15398.0162,1.218,346.0,311.085
0.027777777777777776,16316.9391,0.453,487.0,47.0213
0.027777777777777776,77.84899999999998,0.359,488.0,0.112
0.027777777777777776,72.9894,0.6779999999999999,454.0,0.0149
0.027777777777777776,83.5013,0.966,526.0,0.1139
0.027777777777777776,20.6667,0.875,152.0,0.0185
0.027777777777777776,103.199,0.779,642.0,0.0156
0.027777777777777776,77.9751,0.7090000000000001,479.0,0.5055
0.027777777777777776,69.5759,0.639,435.0,0.0295
0.027777777777777776,164.8318,0.972,991.0,0.518
0.1111111111111111,103451431.6203,119.0,105542.0,12.4533
1.0,1848.9553,0.413,5578.0,0.003
1.0,14205.8865,0.471,16376.0,0.0046
1.0,5699.4919999999975,101.411,11012.0,0.003
0.027777777777777776,0.0,0.314,22348.0,0.0
1.0,0.0,0.426,936.0,0.0
0.027777777777777776,0.0,0.675,7174.0,0.0
0.027777777777777776,0.0,0.3,22343.0,0.0
0.027777777777777776,69.6285,0.32,435.0,0.048
0.3333333333333333,146890.0282,0.378,1832.0,66.5653
0.3333333333333333,140757.9542,0.5720000000000001,1746.0,60.4879
0.3333333333333333,126870.4558,0.57,1577.0,50.2227
0.3333333333333333,203336.5636,0.762,2700.0,120.9677
0.3333333333333333,198474.1333,0.623,2529.0,55.1788
1.0,324232.7377000001,109.0,58916.0,158.4898
1.0,315197.4129,80.0,58210.0,157.52949999999996
1.0,312955.80350000004,106.0,58140.0,157.5855
1.0,323279.12570000003,109.0,58689.0,289.8782
1.0,324650.5514,81.0,58979.0,158.3561
1.0,320542.3097,77.0,58365.0,157.87560000000005
1.0,321899.7369,109.0,58620.0,157.8915
1.0,326296.8239,466135.0,58950.0,158.26170000000005
1.0,316496.332,466152.0,58429.0,289.5102
1.0,321318.8754,466009.0,58474.0,158.024
1.0,0.0012,70005.698,14.0,2.1623
1.0,0.0419,8581.278,508.0,3.2276
1.0,0.0477,89542.808,526.0,3.0848
1.0,0.0318,3599.181,521.0,3.7098
1.0,0.04,11456.441,512.0,3.2126
1.0,0.0225,8581.071,513.0,2.9584
1.0,0.0159,7082.9609999999975,512.0,3.1131
1.0,0.0076,25454.044,12.0,1.7468
1.0,0.0065,127625.728,11.0,2.1754
1.0,0.0101,46352.08900000001,19.0,2.1985
1.0,0.0264,46326.835,518.0,2.9058
1.0,0.016,24732.057,11.0,2.0613
1.0,0.019,8564.593,511.0,2.8892
1.0,0.0538,107270.021,520.0,3.4266
1.0,0.0217,126654.373,511.0,3.303
1.0,0.0068,24771.365,11.0,2.1822
1.0,0.0351,89541.791,520.0,3.7175
1.0,0.0254,38485.737,477.0,3.0829
1.0,0.0017,131731.235,12.0,2.1273
1.0,0.0084,46307.33,11.0,1.9999
1.0,0.0304,104237.722,526.0,3.3404
1.0,0.0009,50127.946,11.0,2.144
1.0,0.0073,1607.009,11.0,1.7149
1.0,0.0047,46351.147,17.0,1.8793
1.0,0.0058,131732.179,13.0,2.1584
1.0,0.0014,129635.182,12.0,1.6916
1.0,0.027000000000000003,46325.734,523.0,2.9042
1.0,0.0543,8566.966999999999,514.0,3.3452
1.0,0.0009,3175.5490000000004,11.0,2.1455
1.0,0.0081,46350.83,18.0,2.1784
1.0,0.0379,266189.58,513.0,3.289
1.0,0.0283,38484.721,527.0,2.9317
1.0,0.0269,89540.50300000003,505.0,2.9358
1.0,0.0256,8566.584,504.0,3.3561
1.0,0.0263,38484.483,517.0,2.9551
1.0,0.0021,46350.217,18.0,2.2491
1.0,0.0048,56545.397,11.0,1.8795
1.0,0.0558,76182.55099999999,526.0,3.0667
1.0,0.0269,89540.15800000002,511.0,3.6746
1.0,0.0097,126606.655,11.0,2.2094
1.0,0.0232,8581.764000000001,518.0,3.1328
1.0,0.0376,46324.57700000001,518.0,3.2143
1.0,0.0294,16827.99,517.0,2.9545
1.0,0.057,8565.835,514.0,3.269
1.0,0.0133,24729.555,12.0,2.1949
1.0,0.0243,46324.272,519.0,3.1238
1.0,0.026,107.06,507.0,3.3599
1.0,0.0057,1605.214,11.0,2.1722
1.0,0.038,8561.865,517.0,3.2294
1.0,0.0059,46349.093,18.0,1.8869
1.0,0.0104,29890.166,12.0,2.2023
1.0,0.0135,73759.818,512.0,3.1482
1.0,0.0221,8577.492,529.0,3.6663
1.0,0.0017,46348.853,17.0,2.1914
1.0,0.0289,46323.544,521.0,2.995
1.0,0.0792,46323.539,542.0,3.8142
1.0,0.0506,89538.755,585.0,3.2112
1.0,0.0012,126605.323,12.0,2.1215
1.0,0.0261,46323.251,509.0,3.3801
1.0,0.0444,8564.598,514.0,3.4498
1.0,0.0238,46323.121,509.0,2.9637
1.0,0.0389,106.043,516.0,3.2244
1.0,0.0011,1604.092,11.0,2.1465
1.0,0.0138,43950.889,11.0,2.0644
1.0,0.0299,10454.615,538.0,3.2708
1.0,0.0015,46347.925,18.0,2.3431
1.0,0.0024,46347.82900000001,18.0,2.2652
1.0,0.0312,41694.88200000001,580.0,3.2378
1.0,0.0127,196.79,11.0,2.4157
1.0,0.0287,46322.422,523.0,3.1647
1.0,0.0014,1445.121,11.0,2.1465
1.0,0.0305,8579.537,518.0,3.1487
1.0,0.0163,148113.521,17.0,2.3373
1.0,0.0356,73758.273,516.0,3.7132
1.0,0.0425,105.062,508.0,3.7721
1.0,0.0008,148113.397,11.0,2.1461
1.0,0.0296,10446.154,526.0,3.24
1.0,0.0313,254102.591,529.0,3.1111
1.0,0.009000000000000001,29888.188,10.0,2.1863
1.0,0.0032,46346.864,18.0,2.2829
1.0,0.057,124858.506,583.0,3.2875
1.0,0.009000000000000001,148112.94400000002,11.0,2.1832
1.0,0.0136,46346.64599999999,18.0,2.3863
1.0,0.04,38480.787,505.0,3.1123
1.0,0.0076,64789.722,11.0,1.8917
1.0,0.004,46346.458,18.0,2.1217
1.0,0.0214,73757.325,515.0,2.9479
1.0,0.032,73757.243,522.0,3.1866
1.0,0.0058,29887.477000000014,11.0,2.1715
1.0,0.0021,24564.918,11.0,2.1469
1.0,0.0318,89536.259,522.0,3.3964
1.0,0.0285,8578.086,528.0,3.1818
1.0,0.0406,211725.57,583.0,3.8404
1.0,0.0348,104232.292,590.0,3.862
1.0,0.0169,442503.937,515.0,3.0964
1.0,0.0011,46345.721,18.0,2.1444
1.0,0.0288,8574.359,507.0,3.1553
1.0,0.003,46345.61900000001,17.0,1.8431
1.0,0.0013,46345.62,18.0,2.1466
1.0,0.0337,89535.56599999998,525.0,3.7103
1.0,0.054000000000000006,104231.749,528.0,3.3966
1.0,0.0083,127619.305,11.0,1.6434
1.0,0.0423,73756.105,516.0,3.3001
1.0,0.0046,29886.355,10.0,2.1972
1.0,0.0019,127619.153,12.0,2.122
1.0,0.0428,662.82,523.0,3.1782
1.0,0.0194,46319.75,513.0,3.1564
1.0,0.0354,38479.036,519.0,2.9922
1.0,0.0226,8557.427,517.0,3.1115
1.0,0.0169,73755.617,511.0,3.5338
1.0,0.0049,1600.559,11.0,2.1549
1.0,0.043,89534.704,525.0,3.2922
1.0,0.0332,175060.422,507.0,3.1252
1.0,0.0163,8576.455,511.0,3.1406
1.0,0.0092,127618.442,11.0,2.184
1.0,0.0153,8556.911,506.0,3.1834
1.0,0.0014,193.592,10.0,2.2273
1.0,0.0485,8572.844000000001,530.0,3.3935
1.0,0.0011,46344.126,18.0,2.1424
1.0,0.0104,3169.013,12.0,2.1817
1.0,0.0057,43946.885,11.0,2.3716
1.0,0.0338,46318.647,511.0,2.9358
1.0,0.017,41691.053,520.0,3.3341
1.0,0.0297,101.483,517.0,2.9886
1.0,0.0011,25445.499,11.0,2.1557
1.0,0.046,46318.389,517.0,3.1825
1.0,0.0248,73754.417,520.0,3.7468
1.0,0.0198,38477.626,503.0,3.1402
1.0,0.0506,8575.407,528.0,3.884
1.0,0.0127,129628.099,11.0,2.1894
1.0,0.0466,89717.65699999998,517.0,3.048
1.0,0.0116,29884.352000000014,11.0,2.4001
1.0,0.01,29884.254,11.0,2.3944
1.0,0.02,100.761,509.0,2.9589
1.0,0.0251,73753.811,506.0,3.2755
1.0,0.0015,129627.629,11.0,2.1794
1.0,0.0196,89532.882,508.0,3.1483
1.0,0.031,55006.643,519.0,2.9614
1.0,0.0143,10449.293,517.0,3.1063
1.0,0.009000000000000001,64785.791,11.0,2.1783
1.0,0.0302,89532.595,521.0,3.8987
1.0,0.0365,100.156,511.0,3.7531
1.0,0.0015,46342.335,18.0,2.2549
1.0,0.0188,312071.74100000004,26.0,2.2175
1.0,0.0018,24560.83,11.0,2.1473
1.0,0.0073,1597.928,11.0,2.3857
1.0,0.0295,57333.085,515.0,3.0559
1.0,0.0416,11445.955,514.0,4.2007
1.0,0.001,131722.851,11.0,2.1681
1.0,0.0319,46316.513,581.0,3.3713
1.0,0.0458,8570.337,512.0,3.8081
1.0,0.039,8573.574,529.0,2.9675
1.0,0.0188,8554.09,516.0,2.9681
1.0,0.0253,46316.183,513.0,2.9499
1.0,0.0065,46341.37,18.0,2.1719
1.0,0.0008,148107.408,10.0,2.1562
1.0,0.0012,129625.962,11.0,2.1619
1.0,0.0014,25443.024,11.0,2.18
1.0,0.0075,46341.112,18.0,2.1771
1.0,0.0088,131721.961,13.0,2.1835
1.0,0.0013,25442.783,11.0,2.1852
1.0,0.0129,46340.81,18.0,2.1917
1.0,0.0129,29881.893,11.0,2.3041
1.0,0.0078,29881.786,10.0,2.111
1.0,0.0078,56830.542,11.0,2.1825
1.0,0.0239,8569.158000000001,522.0,3.0303
1.0,0.056,46315.148,520.0,3.1013
1.0,0.0013,148106.484,11.0,2.1418
1.0,0.0428,8568.914,510.0,3.1282
1.0,0.0273,46315.038,519.0,3.3534
1.0,0.0051,24558.736,12.0,2.1509
1.0,0.0107,46340.049000000006,18.0,2.1844
1.0,0.0063,46339.942,18.0,2.3875
1.0,0.0089,24719.792,12.0,2.1874
1.0,0.0082,148105.899,11.0,2.1802
1.0,0.0357,97.416,584.0,3.8749
1.0,0.0287,192525.513,513.0,4.0689
1.0,0.0275,8555.681999999999,513.0,2.9226
1.0,0.0219,73750.313,515.0,2.8904
